tier,model_id,model,n,correct,accuracy_pct,ci_low_pct,ci_high_pct,ci_width_pct_points,bootstrap_degenerate,n_invalid_extraction,bootstrap_unit,bootstrap_method,confidence_level,bootstrap_reps,base_seed
tier1,gpt-5.5,GPT-5.5,1296,653,50.3858024691358,47.68518518518518,53.086419753086425,5.401234567901236,False,2,QA item,percentile,0.95,20000,20260724
tier1,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,1296,590,45.5246913580247,42.824074074074076,48.2253086419753,5.401234567901231,False,2,QA item,percentile,0.95,20000,20260724
tier1,kimi-k2.6,Kimi-K2.6,1296,574,44.29012345679013,41.589506172839506,46.99074074074074,5.401234567901231,False,7,QA item,percentile,0.95,20000,20260724
tier1,seed-2.0-lite,Seed-2.0-Lite,1296,571,44.058641975308646,41.358024691358025,46.75925925925926,5.401234567901236,False,1,QA item,percentile,0.95,20000,20260724
tier1,grok-4.3,Grok-4.3,1296,566,43.67283950617284,40.97222222222222,46.373456790123456,5.401234567901236,False,0,QA item,percentile,0.95,20000,20260724
tier1,glm-5v-turbo,GLM-5V-Turbo,1296,509,39.2746913580247,36.574074074074076,41.898148148148145,5.32407407407407,False,0,QA item,percentile,0.95,20000,20260724
tier1,qwen2.5-vl-72b,Qwen2.5-VL-72B,1296,470,36.26543209876543,33.641975308641975,38.88888888888889,5.246913580246915,False,6,QA item,percentile,0.95,20000,20260724
tier1,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,1296,451,34.79938271604938,32.175925925925924,37.42283950617284,5.246913580246915,False,2,QA item,percentile,0.95,20000,20260724
tier1,gpt-5.4-mini,GPT-5.4-mini,1296,420,32.407407407407405,29.86111111111111,34.9537037037037,5.0925925925925934,False,0,QA item,percentile,0.95,20000,20260724
tier1,mimo-v2-omni,Mimo-V2-Omni,1296,414,31.944444444444443,29.47337962962963,34.49074074074074,5.017361111111107,False,133,QA item,percentile,0.95,20000,20260724
tier1,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,1296,414,31.944444444444443,29.398148148148145,34.49074074074074,5.0925925925925934,False,2,QA item,percentile,0.95,20000,20260724
tier1,internvl3-8b,InternVL3-8B,1296,391,30.169753086419753,27.700617283950617,32.71604938271605,5.015432098765432,False,0,QA item,percentile,0.95,20000,20260724
tier1,video-llava-7b,Video-LLaVA-7B,1296,374,28.858024691358025,26.38888888888889,31.32716049382716,4.938271604938271,False,0,QA item,percentile,0.95,20000,20260724
tier1,llava-video-72b,LLaVA-Video-72B,1296,370,28.549382716049383,26.080246913580247,31.01851851851852,4.938271604938271,False,0,QA item,percentile,0.95,20000,20260724
tier1,videochat-r1.5-7b,VideoChat-R1.5-7B,1296,366,28.240740740740737,25.771604938271604,30.709876543209873,4.938271604938271,False,0,QA item,percentile,0.95,20000,20260724
tier1,llava-video-7b,LLaVA-Video-7B,1296,353,27.23765432098765,24.845679012345677,29.629629629629626,4.783950617283949,False,0,QA item,percentile,0.95,20000,20260724
tier1,videollama3-7b,VideoLLaMA3-7B,1296,335,25.848765432098762,23.456790123456788,28.240740740740737,4.783950617283949,False,0,QA item,percentile,0.95,20000,20260724
tier1,qwen2.5-vl-7b,Qwen2.5-VL-7B,1296,334,25.771604938271604,23.37962962962963,28.16358024691358,4.7839506172839465,False,0,QA item,percentile,0.95,20000,20260724
tier1,video-r1-7b,Video-R1-7B,1296,316,24.382716049382715,22.067901234567902,26.69753086419753,4.629629629629631,False,0,QA item,percentile,0.95,20000,20260724
tier1,minicpm-v-2.6,MiniCPM-V-2.6,1296,313,24.151234567901234,21.83641975308642,26.46604938271605,4.629629629629631,False,0,QA item,percentile,0.95,20000,20260724
tier1,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,1296,303,23.37962962962963,21.064814814814813,25.617283950617285,4.552469135802473,False,0,QA item,percentile,0.95,20000,20260724
tier1,qwen3-vl-8b,Qwen3-VL-8B,1296,287,22.145061728395063,19.90740740740741,24.459876543209877,4.55246913580247,False,0,QA item,percentile,0.95,20000,20260724
